iter	Passed	Remaining
0	0	83
1	1	56
2	1	47
3	1	39
4	1	37
5	2	34
6	2	32
7	2	31
8	3	30
9	3	29
10	3	29
11	3	28
12	4	27
13	4	27
14	4	26
15	4	26
16	5	25
17	5	25
18	5	25
19	6	24
20	6	24
21	7	25
22	7	25
23	8	25
24	8	25
25	8	25
26	9	24
27	9	24
28	9	23
29	10	23
30	10	23
31	10	22
32	11	22
33	11	22
34	11	22
35	12	22
36	12	21
37	13	21
38	13	21
39	14	21
40	14	20
41	14	19
42	14	19
43	14	19
44	15	18
45	15	18
46	15	17
47	16	17
48	16	16
49	16	16
50	16	16
51	17	15
52	17	15
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	18	12
59	18	12
60	19	12
61	19	11
62	19	11
63	19	11
64	20	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	27	1
95	28	1
96	28	0
97	28	0
98	28	0
99	29	0
