iter	Passed	Remaining
0	57	57099
1	57	28777
2	58	19278
3	58	14529
4	58	11705
5	59	9811
6	59	8458
7	59	7437
8	60	6659
9	60	6024
10	61	5501
11	61	5062
12	61	4691
13	62	4381
14	62	4112
15	62	3869
16	63	3659
17	63	3474
18	64	3305
19	64	3155
20	64	3015
21	64	2887
22	65	2770
23	65	2665
24	65	2567
25	66	2477
26	66	2394
27	66	2318
28	67	2249
29	67	2183
30	67	2120
31	68	2060
32	68	2006
33	68	1956
34	69	1908
35	69	1861
36	69	1818
37	70	1775
38	70	1735
39	70	1697
40	71	1661
41	71	1628
42	71	1596
43	72	1565
44	72	1535
45	72	1506
46	72	1479
47	73	1452
48	73	1426
49	73	1402
50	74	1380
51	74	1359
52	74	1337
53	75	1317
54	75	1298
55	75	1280
56	76	1260
57	76	1242
58	76	1225
59	77	1209
60	77	1192
61	77	1178
62	78	1164
63	78	1148
64	78	1134
65	79	1120
66	79	1106
67	79	1094
68	80	1081
69	80	1068
70	80	1056
71	81	1045
72	81	1034
73	81	1022
74	82	1011
75	82	1000
76	82	990
77	82	979
78	83	970
79	83	960
80	83	951
81	84	941
82	84	931
83	84	924
84	85	917
85	85	910
86	85	902
87	86	894
88	86	887
89	86	879
90	87	871
91	87	863
92	87	857
93	88	851
94	88	844
95	88	837
96	89	830
97	89	824
98	89	817
99	90	810
100	90	804
101	90	798
102	90	792
103	91	786
104	91	780
105	91	775
106	92	769
107	92	764
108	92	760
109	93	755
110	93	750
111	94	745
112	94	740
113	94	735
114	94	730
115	95	726
116	95	721
117	95	717
118	96	712
119	96	709
120	97	706
121	97	701
122	97	697
123	98	693
124	98	688
125	98	684
126	98	680
127	99	676
128	99	672
129	99	668
130	100	664
131	100	660
132	100	656
133	101	652
134	101	649
135	101	645
136	101	642
137	102	638
138	102	635
139	102	632
140	103	628
141	103	624
142	104	626
143	104	623
144	105	620
145	105	617
146	105	614
147	106	611
148	106	608
149	106	605
150	107	602
151	107	599
152	107	596
153	108	593
154	108	591
155	108	588
156	109	586
157	109	583
158	109	581
159	110	578
160	110	576
161	110	573
162	111	571
163	111	569
164	111	566
165	112	564
166	112	561
167	112	559
168	113	556
169	113	555
170	113	552
171	114	550
172	114	547
173	114	545
174	115	543
175	115	541
176	115	538
177	116	536
178	116	534
179	117	534
180	117	532
181	117	530
182	118	528
183	118	526
184	119	525
185	119	523
186	119	521
187	120	519
188	120	517
189	120	515
190	121	513
191	121	511
192	121	508
193	122	507
194	122	504
195	122	503
196	122	501
197	123	499
198	123	497
199	123	495
200	124	493
201	124	491
202	124	489
203	124	487
204	125	485
205	125	484
206	126	483
207	126	481
208	127	480
209	127	479
210	127	478
211	128	476
212	128	475
213	128	473
214	129	471
215	129	469
216	129	468
217	130	466
218	130	465
219	131	464
220	131	462
221	131	461
222	131	459
223	132	458
224	132	456
225	132	455
226	133	454
227	133	452
228	134	451
229	134	449
230	134	448
231	135	446
232	135	445
233	135	444
234	136	443
235	136	441
236	136	440
237	137	438
238	137	437
239	137	435
240	138	434
241	138	433
242	138	431
243	139	430
244	139	429
245	139	428
246	140	427
247	140	426
248	141	425
249	141	424
250	141	423
251	142	421
252	142	420
253	142	419
254	143	418
255	143	417
256	143	416
257	144	414
258	144	413
259	145	413
260	145	411
261	145	411
262	146	410
263	146	408
264	146	407
265	147	406
266	147	405
267	147	403
268	148	402
269	148	401
270	148	400
271	149	399
272	149	398
273	149	396
274	150	395
275	150	394
276	150	393
277	151	392
278	151	391
279	151	390
280	152	389
281	152	388
282	152	386
283	153	385
284	153	384
285	153	383
286	154	383
287	154	382
288	154	381
289	155	380
290	155	379
291	155	378
292	156	377
293	156	375
294	156	374
295	157	373
296	157	372
297	157	371
298	158	370
299	158	369
300	158	368
301	159	367
302	159	366
303	159	366
304	160	365
305	160	364
306	160	363
307	161	362
308	161	361
309	161	360
310	162	359
311	162	358
312	162	357
313	163	356
314	163	355
315	163	354
316	164	353
317	164	352
318	164	351
319	165	350
320	165	350
321	165	349
322	166	348
323	166	347
324	166	346
325	167	345
326	167	344
327	167	343
328	167	342
329	168	341
330	168	340
331	168	339
332	169	339
333	169	338
334	169	337
335	170	336
336	170	335
337	170	334
338	171	333
339	171	332
340	171	331
341	171	330
342	172	330
343	172	329
344	172	328
345	173	327
346	173	326
347	173	325
348	174	324
349	174	323
350	174	323
351	175	322
352	175	321
353	175	321
354	176	320
355	176	319
356	176	318
357	177	317
358	177	316
359	177	316
360	178	315
361	178	314
362	178	313
363	179	312
364	179	312
365	179	311
366	180	310
367	180	309
368	180	309
369	181	308
370	181	307
371	181	306
372	181	305
373	182	304
374	182	304
375	182	303
376	182	302
377	183	301
378	183	300
379	183	299
380	184	299
381	184	298
382	184	297
383	185	296
384	185	296
385	185	295
386	185	294
387	186	293
388	186	292
389	186	292
390	187	291
391	187	290
392	187	289
393	188	289
394	188	288
395	188	288
396	189	287
397	189	286
398	189	286
399	190	285
400	190	284
401	190	283
402	191	282
403	191	282
404	191	281
405	191	280
406	192	279
407	192	279
408	192	278
409	192	277
410	193	276
411	193	276
412	193	275
413	194	274
414	194	273
415	194	273
416	194	272
417	195	271
418	195	270
419	195	270
420	195	269
421	196	268
422	196	267
423	196	267
424	196	266
425	197	265
426	197	264
427	197	264
428	197	263
429	198	262
430	198	261
431	198	261
432	198	260
433	199	259
434	199	259
435	199	258
436	199	257
437	200	256
438	200	256
439	200	255
440	200	254
441	201	254
442	201	253
443	201	252
444	202	252
445	202	251
446	202	251
447	203	250
448	203	249
449	203	249
450	204	248
451	204	247
452	204	247
453	205	246
454	205	246
455	205	245
456	206	244
457	206	244
458	206	243
459	207	243
460	207	242
461	207	241
462	208	241
463	208	240
464	208	240
465	209	239
466	209	238
467	209	238
468	209	237
469	210	236
470	210	236
471	210	235
472	210	234
473	211	234
474	211	233
475	211	233
476	211	232
477	212	231
478	212	231
479	212	230
480	213	229
481	213	229
482	213	228
483	213	227
484	214	227
485	214	226
486	214	226
487	214	225
488	215	224
489	215	224
490	215	223
491	215	222
492	216	222
493	216	221
494	216	221
495	216	220
496	217	219
497	217	219
498	217	218
499	217	217
500	218	217
501	218	216
502	218	216
503	219	215
504	219	214
505	219	214
506	219	213
507	220	213
508	220	212
509	221	212
510	221	211
511	221	211
512	222	210
513	222	210
514	222	209
515	223	209
516	223	208
517	223	208
518	224	207
519	224	207
520	224	206
521	224	205
522	225	205
523	225	204
524	225	204
525	225	203
526	226	203
